Month,Python,JavaScript,Java
2020-01-31,29.48857147774557,17.686805329085196,12.354972625062262
2020-02-29,27.50906316799152,17.96374003115724,13.763767756991234
2020-03-31,23.35470078536352,20.479433124153765,7.651943088860104
2020-04-30,28.000324848917405,16.420954018317445,12.891308605214824
2020-05-31,24.536333798916527,19.68845413223776,8.506453146935282
2020-06-30,27.870948556629887,21.922695176343595,8.672259775981205
2020-07-31,24.249088798232197,19.149407966165686,12.809663369807561
2020-08-31,25.64235432022516,19.156229425012068,6.289671377146978
2020-09-30,29.71123459756495,24.16097028821448,7.300954470114674
2020-10-31,16.670531735053785,21.064022801384915,10.127965740267841
2020-11-30,22.15474625822498,20.75367800621724,8.692690495163564
2020-12-31,13.988411166959482,15.897295649973314,6.28504108607319
2021-01-31,29.362863779368624,22.029336717177998,9.67427368661993
2021-02-28,18.723689214476668,22.47729402404675,7.479687554708954
2021-03-31,20.52978436070439,15.85413972723345,6.193510201314272
2021-04-30,11.622351238310234,15.395309085810965,8.870117142706071
2021-05-31,14.87372242220195,17.348921431942216,6.159158849258816
2021-06-30,17.842847959941178,23.18260566185173,12.170585644059756
2021-07-31,26.684944263895293,24.75518169546465,7.224348962200767
2021-08-31,12.996814509925079,17.01286993230696,7.5308279897510175
2021-09-30,12.197213425112707,16.517628371019214,10.58282645186168
2021-10-31,22.084503993967402,16.031386608281746,12.263315885749968
2021-11-30,26.56691671087486,15.102848426823659,5.356382166593906
2021-12-31,13.751139513685446,18.204116266308098,6.6332411645099665
2022-01-31,10.729739325669813,16.62324208310706,7.771401102076368
2022-02-28,28.318250272148035,17.478353688550627,8.752164743086666
2022-03-31,26.529520219344988,24.10910470471701,13.828364247247798
2022-04-30,10.474365130642342,20.568069506664138,11.616962396058472
2022-05-31,14.536261172617486,19.514933562322767,11.916965247457126
2022-06-30,26.16371002970627,20.709192685369846,14.885743626432667
2022-07-31,22.28728774781486,24.274472770437747,12.304936990708612
2022-08-31,26.662585702409302,22.54639445417119,12.426863137378547
2022-09-30,27.143537300707983,24.55537751914578,6.510366651275696
2022-10-31,18.011498156627425,17.893160957405314,5.67695162437754
2022-11-30,12.586486313095296,20.24227212292501,14.45700296090248
2022-12-31,27.3414602228225,15.126952802869834,7.379939332521507
2023-01-31,22.497063208679265,15.856338793853286,12.812867882745564
2023-02-28,14.987763644955606,16.55476811563801,10.71465450175768
2023-03-31,23.777406371897563,22.985212223403657,8.963930683450076
2023-04-30,10.939023730012947,15.793484484385118,11.137346498703351
2023-05-31,24.633973907169572,15.062656203899017,8.05372856537372
2023-06-30,24.653931856139067,17.08931169834742,6.529454284355714
2023-07-31,27.211033390531966,22.46841037437092,11.043658982225752
2023-08-31,24.601393012211044,15.652354365153082,7.7079402854350585
2023-09-30,29.297474966555843,15.548849270748361,7.0893936015246615
2023-10-31,26.772566292202807,20.123128034365983,5.977800644984034
2023-11-30,27.010590841902534,19.78223446694502,10.488707879882655
2023-12-31,10.052873822882606,23.569215523348998,10.196974606711537
2024-01-31,20.9898893645587,15.915921464828154,9.178212593233095
2024-02-29,15.994737822314741,21.77973342789359,9.7890301725246
2024-03-31,15.244367247366899,23.220512848001654,5.529652104094138
2024-04-30,13.690219373162611,17.934806358579678,11.968860987611379
2024-05-31,24.00400191282032,22.198489565942154,7.2390736560908
2024-06-30,29.88531076304607,21.7255753549775,7.499429924348037
2024-07-31,22.611585761735196,22.34515972341412,5.4529761563886865
2024-08-31,25.019557015905878,19.492415678322814,6.4906717971017835
2024-09-30,14.58714644680076,16.38402077286995,7.16459812101731
2024-10-31,23.997772822470814,18.205217180399988,6.699853259716207
2024-11-30,18.31607286184728,24.672049010241054,13.159252229972427
2024-12-31,12.455575820798934,16.468253366342644,5.124600535394491
